distance,resettotal,impactprimnum,impulse,avgposition,betweentime,v,avgimpulse,N,P,parentprimnum,parentobject,impactobject,impacttime
4.128548622131348,1,-1,0.07930080592632294,"(-1.8475664854049683, 13.23514461517334, -2.5911433696746826)",0.9583333134651184,"(0.0, 4.514993190765381, 0.0)",0.016330452635884285,"(0.0, 1.0, 0.0)","(-1.9484845399856567, 0.0, 2.2653777599334717)",360,2,0,1.0
4.128548622131348,1,-1,0.14932551980018616,"(-1.8475664854049683, 13.23514461517334, -2.5911433696746826)",0.9583333134651184,"(0.0, 3.9577720165252686, 0.0)",0.016330452635884285,"(0.0, 1.0, 0.0)","(0.514957845211029, 0.0, 1.5179388523101807)",103,2,0,1.0
0.7863991260528564,2,-1,0.27899593114852905,"(-2.113107919692993, 13.886269569396973, -2.9432051181793213)",0.0416666679084301,"(0.0, 4.587780952453613, 0.0)",0.021461226046085358,"(0.0, 1.0, 0.0)","(-3.0380001068115234, 0.0, 1.7976560592651367)",98,2,0,1.0416666269302368
4.681397438049316,3,-1,0.3260803818702698,"(-1.8273887634277344, 9.76175594329834, -0.747246265411377)",0.0416666679084301,"(0.0, 4.765401363372803, 0.0)",0.04138863831758499,"(0.0, 1.0, 0.0)","(2.48483943939209, 0.0, 2.3221917152404785)",25,2,0,1.0833333730697632
4.681397438049316,3,-1,0.21629363298416138,"(-1.8273887634277344, 9.76175594329834, -0.747246265411377)",0.0416666679084301,"(0.0, 4.434646129608154, 0.0)",0.04138863831758499,"(0.0, 1.0, 0.0)","(-1.3430579900741577, 0.0, 3.050900936126709)",232,2,0,1.0833333730697632
1.2486114501953125,4,-1,0.07693798840045929,"(-1.6708296537399292, 8.524937629699707, -0.8165289163589478)",0.0416666679084301,"(0.0, 4.699254989624023, 0.0)",0.07159174978733063,"(0.0, 1.0, 0.0)","(0.571251630783081, 0.0, 0.7430522441864014)",31,2,0,1.125
1.2486114501953125,4,-1,0.29055196046829224,"(-1.6708296537399292, 8.524937629699707, -0.8165289163589478)",0.0416666679084301,"(0.0, 4.980818748474121, 0.0)",0.07159174978733063,"(0.0, 1.0, 0.0)","(2.486262321472168, 0.0, 3.325880765914917)",384,2,0,1.125
1.2486114501953125,4,-1,0.24183706939220428,"(-1.6708296537399292, 8.524937629699707, -0.8165289163589478)",0.0416666679084301,"(0.0, 4.483120441436768, 0.0)",0.07159174978733063,"(0.0, 1.0, 0.0)","(3.0380001068115234, 0.0, 2.2475600242614746)",80,2,0,1.125
1.2486114501953125,4,-1,0.1374737173318863,"(-1.6708296537399292, 8.524937629699707, -0.8165289163589478)",0.0416666679084301,"(0.0, 4.396320819854736, 0.0)",0.07159174978733063,"(0.0, 1.0, 0.0)","(-3.0380001068115234, 0.0, 0.8546337485313416)",77,2,0,1.125
1.2486114501953125,4,-1,0.39866724610328674,"(-1.6708296537399292, 8.524937629699707, -0.8165289163589478)",0.0416666679084301,"(0.0, 4.637116432189941, 0.0)",0.07159174978733063,"(0.0, 1.0, 0.0)","(-2.448786735534668, 0.0, 3.156959295272827)",268,2,0,1.125
4.1535258293151855,5,-1,0.6184751391410828,"(-1.6368622779846191, 4.696000576019287, 0.7927767038345337)",0.0416666679084301,"(0.0, 5.038616180419922, 0.0)",0.3386450409889221,"(0.0, 1.0, 0.0)","(-3.0380001068115234, 0.0, 2.4555864334106445)",97,2,0,1.1666666269302368
4.1535258293151855,5,-1,1.2038815021514893,"(-1.6368622779846191, 4.696000576019287, 0.7927767038345337)",0.0416666679084301,"(0.0, 4.514327526092529, 0.0)",0.3386450409889221,"(0.0, 1.0, 0.0)","(1.3819504976272583, 0.0, 1.9706382751464844)",16,2,0,1.1666666269302368
4.1535258293151855,5,-1,1.4364134073257446,"(-1.6368622779846191, 4.696000576019287, 0.7927767038345337)",0.0416666679084301,"(0.0, 4.514327526092529, 0.0)",0.3386450409889221,"(0.0, 1.0, 0.0)","(-1.2936064004898071, 0.0, 1.5524126291275024)",158,2,0,1.1666666269302368
4.1535258293151855,5,-1,0.7955631613731384,"(-1.6368622779846191, 4.696000576019287, 0.7927767038345337)",0.0416666679084301,"(0.0, 4.798863887786865, 0.0)",0.3386450409889221,"(0.0, 1.0, 0.0)","(-0.3554227948188782, 0.0, 1.1931334733963013)",95,2,0,1.1666666269302368
