P,rest,pscale,name
"(3.0380001068115234, 16.56773567199707, -0.19106972217559814)","(3.0380001068115234, 16.56773567199707, -0.19106972217559814)",1.2313106060028076,piece_36
"(3.0380001068115234, 25.251571655273438, -3.0280184745788574)","(3.0380001068115234, 25.251571655273438, -3.0280184745788574)",1.6651893854141235,piece_37
"(0.009201706387102604, 13.711280822753906, -2.347919225692749)","(0.009201706387102604, 13.711280822753906, -2.347919225692749)",1.7182650566101074,piece_38
"(-0.3504441976547241, 26.783798217773438, -1.0916826725006104)","(-0.3504441976547241, 26.783798217773438, -1.0916826725006104)",1.9691635370254517,piece_39
"(-3.0380001068115234, 7.101987838745117, 4.43480920791626)","(-3.0380001068115234, 7.101987838745117, 4.43480920791626)",1.0204252004623413,piece_40
"(3.0380001068115234, 10.085855484008789, 3.622922897338867)","(3.0380001068115234, 10.085855484008789, 3.622922897338867)",1.3996683359146118,piece_41
"(-2.196230411529541, 7.2429375648498535, 0.1317794919013977)","(-2.196230411529541, 7.2429375648498535, 0.1317794919013977)",0.8872110247612,piece_42
"(3.0380001068115234, 18.755891799926758, -2.6635162830352783)","(3.0380001068115234, 18.755891799926758, -2.6635162830352783)",1.8189594745635986,piece_43
"(-0.8031074404716492, 10.27869987487793, -1.0371373891830444)","(-0.8031074404716492, 10.27869987487793, -1.0371373891830444)",1.2725938558578491,piece_44
"(-0.8568183779716492, 11.157928466796875, 6.909525394439697)","(-0.8568183779716492, 11.157928466796875, 6.909525394439697)",1.78544282913208,piece_45
"(-3.0380001068115234, 14.373319625854492, -0.6051183342933655)","(-3.0380001068115234, 14.373319625854492, -0.6051183342933655)",1.9126036167144775,piece_46
"(-2.5844740867614746, 24.54009437561035, -5.216490745544434)","(-2.5844740867614746, 24.54009437561035, -5.216490745544434)",1.3832056522369385,piece_47
"(-3.0380001068115234, 15.420018196105957, 0.7711728811264038)","(-3.0380001068115234, 15.420018196105957, 0.7711728811264038)",1.1362245082855225,piece_48
"(-3.0380001068115234, 22.324962615966797, -6.23544454574585)","(-3.0380001068115234, 22.324962615966797, -6.23544454574585)",1.0013669729232788,piece_49
"(3.0380001068115234, 7.347799301147461, 4.373212814331055)","(3.0380001068115234, 7.347799301147461, 4.373212814331055)",1.0568584203720093,piece_50
"(-0.592815101146698, 11.716405868530273, -1.8311576843261719)","(-0.592815101146698, 11.716405868530273, -1.8311576843261719)",1.2370316982269287,piece_51
"(-3.0380001068115234, 12.10537338256836, -0.6927244663238525)","(-3.0380001068115234, 12.10537338256836, -0.6927244663238525)",1.6559693813323975,piece_52
"(-1.7091169357299805, 25.785808563232422, -1.9332244396209717)","(-1.7091169357299805, 25.785808563232422, -1.9332244396209717)",1.1555674076080322,piece_53
"(-3.0380001068115234, 20.4658203125, -5.977784633636475)","(-3.0380001068115234, 20.4658203125, -5.977784633636475)",0.6007712483406067,piece_54
"(-3.0380001068115234, 21.60137939453125, -3.6400961875915527)","(-3.0380001068115234, 21.60137939453125, -3.6400961875915527)",1.0505015850067139,piece_55
"(-2.5048158168792725, 7.689933776855469, 6.315062046051025)","(-2.5048158168792725, 7.689933776855469, 6.315062046051025)",1.2135876417160034,piece_56
"(3.0380001068115234, 25.722824096679688, -1.6675881147384644)","(3.0380001068115234, 25.722824096679688, -1.6675881147384644)",1.5402640104293823,piece_57
"(3.0380001068115234, 9.301506042480469, 1.7975950241088867)","(3.0380001068115234, 9.301506042480469, 1.7975950241088867)",1.10429048538208,piece_58
"(-2.5655863285064697, 12.008429527282715, -1.557580828666687)","(-2.5655863285064697, 12.008429527282715, -1.557580828666687)",1.6242278814315796,piece_59
"(-2.5167934894561768, 9.786901473999023, 7.685492992401123)","(-2.5167934894561768, 9.786901473999023, 7.685492992401123)",1.8363819122314453,piece_60
"(-3.0380001068115234, 22.328296661376953, -0.31952279806137085)","(-3.0380001068115234, 22.328296661376953, -0.31952279806137085)",1.834078311920166,piece_61
"(3.0380001068115234, 11.525167465209961, 2.6797990798950195)","(3.0380001068115234, 11.525167465209961, 2.6797990798950195)",1.8388721942901611,piece_62
"(0.7346596121788025, 10.614213943481445, -0.4563252925872803)","(0.7346596121788025, 10.614213943481445, -0.4563252925872803)",1.9591642618179321,piece_63
"(0.0984281599521637, 10.301444053649902, 7.0089335441589355)","(0.0984281599521637, 10.301444053649902, 7.0089335441589355)",1.467757225036621,piece_64
"(2.573183536529541, 24.72802734375, -1.4561861753463745)","(2.573183536529541, 24.72802734375, -1.4561861753463745)",0.6596170663833618,piece_65
"(3.0380001068115234, 6.814093589782715, 5.356158256530762)","(3.0380001068115234, 6.814093589782715, 5.356158256530762)",0.8320033550262451,piece_66
"(-3.0380001068115234, 15.031041145324707, -2.2203376293182373)","(-3.0380001068115234, 15.031041145324707, -2.2203376293182373)",1.304579734802246,piece_67
"(-1.8498344421386719, 20.84564208984375, -6.907037258148193)","(-1.8498344421386719, 20.84564208984375, -6.907037258148193)",0.9804180860519409,piece_68
"(-1.5938218832015991, 22.169227600097656, 0.24132420122623444)","(-1.5938218832015991, 22.169227600097656, 0.24132420122623444)",0.980798602104187,piece_69
"(-3.0380001068115234, 10.158580780029297, 0.18771405518054962)","(-3.0380001068115234, 10.158580780029297, 0.18771405518054962)",1.3868532180786133,piece_70
"(-3.0380001068115234, 17.520187377929688, -0.06058932840824127)","(-3.0380001068115234, 17.520187377929688, -0.06058932840824127)",1.7666205167770386,piece_71
"(0.7323968410491943, 13.809945106506348, -2.6982786655426025)","(0.7323968410491943, 13.809945106506348, -2.6982786655426025)",1.4474687576293945,piece_72
"(-2.8931760787963867, 19.14803695678711, -6.179373741149902)","(-2.8931760787963867, 19.14803695678711, -6.179373741149902)",0.8320325613021851,piece_73
"(-0.7452408075332642, 14.921930313110352, -2.7253246307373047)","(-0.7452408075332642, 14.921930313110352, -2.7253246307373047)",1.9524548053741455,piece_74
"(2.711848735809326, 6.365691661834717, 1.3982373476028442)","(2.711848735809326, 6.365691661834717, 1.3982373476028442)",1.618163824081421,piece_75
